"id","created_at","source","original_text","lang","favorite_count","retweet_count","original_author","hashtags","user_mentions"
"1245810915397771266","Thu Apr 02 20:30:42 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sspyuc: A la sociedad yucateca: Las fuerzas federales, estatales y municipales de seguridad, iniciamos una campaña de concientización p…","es","0","140","CardRen","","sspyuc"
"1245803424396054529","Thu Apr 02 20:00:56 +0000 2020","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @ABCDigital: #CoronavirusPy 😷¡A usar tapabocas!

☝🏻La Sociedad Paraguaya de Infectología alienta a la utilización de mascarillas faciale…","es","0","73","IamnotMarilyn","CoronavirusPy","ABCDigital"
"1245803416233717760","Thu Apr 02 20:00:54 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AnderssonBoscan: Son 91 policías contagiados y 5 muertos por Covid-19. Todos murieron en servicio al país, especialmente a Guayaquil.
A…","es","0","387","pablohr88","","AnderssonBoscan"
"1245803407769829376","Thu Apr 02 20:00:52 +0000 2020","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Un modelo calcula los casos reales de COVID-19 #Ciencia https://t.co/AllLQxrEON https://t.co/yC04ySgjxy","es","0","31","ambientumcom","Ciencia",""
"1245803399393624064","Thu Apr 02 20:00:50 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Pemex Cuando piensa la administración de Pemex. Apegarse al estado de derecho protegiendo a los trabajadores que t… https://t.co/xLgnKAK4k4","es","0","0","PabloGonzlezGu4","","Pemex"
"1245803390451560451","Thu Apr 02 20:00:48 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @pons_sabate: Soy de Barcelona, tengo 36 años, tengo #ELA, y si me infecto del #COVID19 tengo un alto riesgo de morir. Quiero agradecer…","es","0","1","renee_erizo","ELA, COVID19","pons_sabate"
"1245803382570397702","Thu Apr 02 20:00:46 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @lucas___marco: Éste es el doctor Drake Ramoray, licenciado en epidemiologia, actualmente, se encuentra trabajando en una cura contra el…","es","0","0","BelFerrari22","","lucas___marco"
"1245803374194409472","Thu Apr 02 20:00:44 +0000 2020","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","#NACIONAL Redes sociales, vitales ante pandemia del Covid-19

https://t.co/r57gztIcWO https://t.co/C33UFQPsI7","es","0","3","RRNoticiasqro","NACIONAL",""
"1245803365398990849","Thu Apr 02 20:00:42 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @andres_jhonny4: No es Ecuador, esto es lo que pasa en las calles colombianas. Mientras @IvanDuque planea atacar a Venezuela su pueblo s…","es","0","19","JMRHuertas","","andres_jhonny4, IvanDuque"
"1245803357324873729","Thu Apr 02 20:00:40 +0000 2020","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @GemmaVillarroel: La @jcyl moviliza más de 100 millones de euros para apoyar a las empresas de #CyL en tiempos de #Covid19

✅ 16,6M = C…","es","0","30","Cs_Leon_","CyL, Covid19","GemmaVillarroel, jcyl"
"1245803349041176576","Thu Apr 02 20:00:38 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ingenieriared: (vía @chcarribas + @alvac) Doble trabajo en la conservación de carreteras en tiempos de COVID-19. Después de haber reali…","es","0","1","alvac","","ingenieriared, chcarribas, alvac"
"1245803340723884033","Thu Apr 02 20:00:36 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @anagarciacarias: El Gobierno de @JuanOrlandoH envió al hospital Mario Catarino Rivas de #SPS, equipo de protección personal para los  m…","es","0","13023","JuanCar47872307","SPS","anagarciacarias, JuanOrlandoH"
"1245803332347858944","Thu Apr 02 20:00:34 +0000 2020","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Evolución de las ventas en retail durante las fases de la pandemia.
https://t.co/xm2XLb3CCm

#HazMarketing #Retail #Coronavirus","es","0","1","RevistaNeo","HazMarketing, Retail, Coronavirus",""
"1245803323745349633","Thu Apr 02 20:00:32 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PresentesLGBT: 🇦🇷 #Coronavirus En el hotel Gondolín 46 trans resisten organizadas. Luz Aimé Díaz espera ahí su juicio y cuenta sobre un…","es","0","0","mati_decla","Coronavirus","PresentesLGBT"
"1245803315293798409","Thu Apr 02 20:00:30 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sgdambrauskas: Guías europeas pediátricas para el manejo de enfermería de pacientes con #COVID19

En español
#PedsICU","es","0","94","vinha001","COVID19, PedsICU","sgdambrauskas"
"1245803307182030850","Thu Apr 02 20:00:28 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GNB_LaraGDP: #NOTICIA | Comisión Presidencial evalúa con expertos chinos mecanismos para combatir el Covid-19, buscamos soluciones al P…","es","0","16","mayela661","NOTICIA","GNB_LaraGDP"
